Event,Type
Athletics Women's 80 metres Hurdles,Single
Sailing Men's One Person Heavyweight Dinghy,Single
Freestyle Skiing Women's Aerials,Single
"Art Competitions Mixed Painting, Paintings",Single
"Tennis Mixed Doubles, Covered Courts",Team
Cycling Men's Madison,Single
"Art Competitions Mixed Sculpturing, Statues",Single
Rugby Men's Rugby,Team
Weightlifting Men's Heavyweight II,Single
"Canoeing Women's Kayak Doubles, 500 metres",Team
"Short Track Speed Skating Men's 5,000 metres Relay",Team
Cycling Men's Individual Time Trial,Single
Judo Women's Heavyweight,Single
"Canoeing Men's Kayak Doubles, 1,000 metres",Team
"Gymnastics Men's Individual All-Around, 5 Events",Single
"Wrestling Men's Super-Heavyweight, Freestyle",Team
Biathlon Women's 10 kilometres Pursuit,Single
Biathlon Women's 12.5 kilometres Mass Start,Single
Biathlon Women's 4 x 6 kilometres Relay,Team
"Fencing Women's Sabre, Team",Team
Shooting Men's Double Trap,Single
Weightlifting Men's Bantamweight,Single
Taekwondo Men's Heavyweight,Single
Sailing Mixed Windsurfer,Single
Taekwondo Women's Welterweight,Single
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Single
Skeleton Men's Skeleton,Single
Cycling Men's 50 kilometres,Single
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Single
Cycling Men's 333 metres Time Trial,Single
Cycling Men's 20 kilometres,Single
"Canoeing Men's Kayak Singles, 10,000 metres",Single
Sailing Mixed Open,Single
Sailing Mixed 1-2 Ton,Single
"Canoeing Men's Canadian Singles, Slalom",Single
Luge Men's Singles,Single
Luge Mixed (Men)'s Doubles,Single
Sailing Mixed Multihull,Single
Badminton Women's Doubles,Team
"Speed Skating Women's 3,000 metres",Single
Cross Country Skiing Women's 5/10 kilometres Pursuit,Single
Cross Country Skiing Women's 4 x 5 kilometres Relay,Team
Cross Country Skiing Women's 15 kilometres,Single
Cross Country Skiing Women's 5/5 kilometres Pursuit,Single
Diving Women's Synchronized Platform,Team
Athletics Women's Triple Jump,Single
Skeleton Women's Skeleton,Single
Bobsleigh Men's Four/Five,Team
"Art Competitions Mixed Painting, Drawings And Water Colors",Single
"Shooting Men's Dueling Pistol, 30 metres",Single
Boxing Women's Lightweight,Single
Cycling Women's BMX,Single
"Canoeing Men's Kayak Doubles, 200 metres",Team
"Fencing Men's Sabre, Masters, Individual",Single
Lacrosse Men's Lacrosse,Team
"Canoeing Women's Kayak Singles, 500 metres",Single
Athletics Women's 10 kilometres Walk,Single
Sailing Mixed 12 metres,Single
Judo Women's Extra-Lightweight,Single
Diving Men's Synchronized Springboard,Team
"Rowing Men's Coxed Fours, Outriggers",Team
Gymnastics Men's Rope Climbing,Single
Sailing Mixed Two Person Dinghy,Team
"Art Competitions Mixed Architecture, Unknown Event",Single
"Archery Men's Target Archery, 28 metres, Team",Team
"Archery Men's Target Archery, 33 metres, Team",Team
"Archery Men's Target Archery, 50 metres, Team",Team
